"date_naissance","pays","age","genre","education","statut_marital","syndicat","revenu","religion","immigration","region","int_pol","eff_interne","att_elites","att_autres_groupes","opinion_nation","perc_corruption","perf_gov","part_electorale","vote_sortant","gauche_droite","satisf_demo","id_partisane"
1985,"Austria",32,0,4,"couple",0,2,1,0,"village",3,3,9,10,6,3,3,1,1,5,3,1
1940,"Austria",77,0,3,"couple",0,1,1,0,"village",3,4,1,8,6,4,1,1,0,5,NA,1
1947,"Austria",70,0,4,"couple",0,4,1,1,"village",2,3,5,6,7,4,1,1,1,5,4,0
1969,"Austria",48,0,3,"couple",0,3,0,0,"village",2,2,14,NA,5,4,NA,1,0,5,4,1
1974,"Austria",43,0,9,"couple",0,5,0,0,"village",3,5,10,NA,4,2,1,1,1,5,1,0
1990,"Austria",27,0,4,"couple",0,4,1,1,"village",1,2,6,0,7,3,NA,1,1,5,4,0
1954,"Austria",63,0,4,"couple",0,4,1,0,"village",2,2,13,4,10,3,3,1,1,5,3,1
1960,"Austria",57,1,4,"couple",0,3,NA,0,"banlieue",3,5,7,5,8,3,2,1,0,6,1,0
1970,"Austria",47,1,3,"couple",0,2,1,0,"petite ville",3,4,8,7,11,2,2,1,1,6,3,1
1999,"Austria",18,0,3,"celibataire",0,2,0,1,"banlieue",4,4,8,8,10,3,2,1,1,6,3,1
1932,"Austria",85,1,4,"veuf",0,NA,1,0,"village",2,5,1,1,12,4,1,1,0,6,4,1
1969,"Austria",48,1,4,"couple",1,3,0,0,"village",2,5,15,NA,4,2,3,1,1,6,4,1
1947,"Austria",70,1,4,"couple",0,NA,0,0,"village",4,5,11,1,6,1,1,1,1,6,NA,1
1961,"Austria",56,1,4,"couple",NA,3,1,0,"petite ville",3,5,12,3,5,3,NA,1,1,6,1,0
1964,"Austria",53,0,4,"couple",0,4,1,0,"village",2,2,9,7,7,1,1,1,1,6,1,1
1971,"Austria",46,0,4,"couple",0,4,1,0,"village",2,4,5,3,6,3,2,1,1,6,1,1
1961,"Austria",56,1,8,"couple",0,5,1,0,"banlieue",4,5,2,3,9,4,2,1,0,6,3,0
1982,"Austria",35,1,4,"couple",0,NA,1,1,"village",4,5,10,6,5,1,2,1,0,6,NA,1
1983,"Austria",34,1,8,"celibataire",0,5,1,0,"grande ville",3,5,16,10,7,1,2,1,1,6,3,0
1969,"Austria",48,0,4,"couple",1,4,0,0,"banlieue",2,3,3,0,11,4,1,1,0,6,1,0
1968,"Austria",49,1,4,"couple",0,1,0,0,"village",3,4,2,6,11,3,2,1,1,6,3,0
1963,"Austria",54,0,4,"separe",0,5,0,1,"petite ville",3,4,5,10,5,4,1,1,NA,7,4,0
1949,"Austria",68,1,4,"couple",0,5,0,1,"banlieue",4,5,4,3,11,4,NA,1,1,7,1,1
1997,"Austria",20,1,4,"celibataire",0,4,0,1,"village",4,5,9,0,6,3,1,1,0,7,4,1
1973,"Austria",44,1,4,"couple",0,NA,1,0,"village",2,3,6,3,3,4,1,1,1,7,NA,1
1940,"Austria",77,1,1,"couple",0,2,0,0,"grande ville",3,4,10,4,7,3,2,1,1,7,1,0
1969,"Austria",48,0,8,"couple",0,5,1,0,"petite ville",4,5,14,14,7,3,3,1,1,7,1,0
1968,"Austria",49,1,4,"couple",0,5,0,0,"banlieue",3,5,12,0,10,2,1,1,0,7,1,1
1963,"Austria",54,1,4,"couple",0,5,1,0,"village",4,4,7,1,12,3,1,1,0,7,1,0
1974,"Austria",43,0,3,"couple",0,4,0,0,"grande ville",2,2,6,1,11,4,1,1,0,7,1,1
1973,"Austria",44,0,4,"couple",0,NA,1,0,"village",3,5,3,5,9,4,2,1,1,7,3,0
1985,"Austria",32,1,4,"couple",1,NA,1,0,"banlieue",3,5,13,1,3,4,1,1,0,7,3,0
1979,"Austria",38,1,4,"separe",0,NA,0,0,"grande ville",3,5,11,4,6,4,1,1,0,7,NA,1
1945,"Austria",72,0,4,"separe",0,1,0,1,"village",4,5,5,1,9,4,1,1,0,7,NA,1
1991,"Austria",26,1,4,"celibataire",0,NA,0,0,"village",3,4,1,0,12,4,1,1,0,7,1,1
1979,"Austria",38,1,4,"couple",0,2,1,0,"village",4,5,5,1,12,3,2,1,0,7,1,1
1954,"Austria",63,1,4,"couple",1,2,1,0,"petite ville",4,5,NA,6,12,4,2,1,0,7,1,1
1938,"Austria",79,1,4,"couple",0,5,0,0,"banlieue",4,3,13,5,5,2,1,1,1,8,3,1
1944,"Austria",73,0,4,"separe",0,2,0,0,"banlieue",4,5,1,1,11,4,1,1,0,8,NA,1
1978,"Austria",39,1,4,"couple",0,4,0,0,"village",2,4,13,4,5,3,1,1,1,8,NA,1
1968,"Austria",49,1,4,"separe",0,NA,0,0,"petite ville",2,5,3,2,4,3,1,1,0,8,NA,1
1960,"Austria",57,1,4,"couple",1,4,0,0,"village",3,2,6,4,6,4,2,1,0,8,1,1
1954,"Austria",63,0,4,"couple",1,3,1,0,"village",4,5,7,NA,12,4,2,1,0,8,3,1
1968,"Austria",49,1,3,"couple",0,1,0,0,"village",3,4,1,3,9,3,1,1,0,8,NA,1
1957,"Austria",60,0,4,"couple",0,4,1,0,"village",2,4,NA,0,9,4,3,1,0,8,NA,1
1960,"Austria",57,1,4,"couple",1,NA,0,0,"village",4,5,NA,1,11,4,2,1,0,8,NA,1
1970,"Austria",47,1,4,"celibataire",0,NA,0,1,"village",3,5,3,NA,12,4,1,1,0,9,1,1
1941,"Austria",76,1,4,"separe",0,3,0,1,"banlieue",3,5,6,1,6,3,1,1,0,10,1,1
1981,"Austria",36,1,4,"couple",0,NA,0,0,"village",1,5,4,2,10,3,1,0,NA,7,1,0
1957,"Austria",60,1,4,"couple",1,NA,0,0,"village",1,5,0,20,10,3,1,0,NA,7,NA,0
1992,"Austria",25,1,1,"celibataire",0,1,0,1,"village",2,2,4,NA,1,4,NA,1,0,7,NA,0
1951,"Austria",66,0,4,"separe",0,NA,0,1,"village",3,5,2,NA,11,4,1,0,NA,7,NA,NA
1960,"Austria",57,0,4,"couple",1,5,1,1,"village",3,5,13,2,4,4,2,1,0,7,NA,0
1988,"Austria",29,1,3,"celibataire",1,1,0,1,"village",3,5,0,5,12,4,1,0,NA,7,NA,1
1999,"Austria",18,1,3,"celibataire",0,NA,0,1,"village",2,4,NA,NA,NA,1,NA,1,0,7,4,0
1968,"Austria",49,1,4,"separe",0,NA,0,0,"petite ville",2,5,0,0,12,4,1,1,0,7,1,0
1950,"Austria",67,0,2,"couple",0,4,1,0,"banlieue",4,5,6,6,8,3,3,1,1,8,4,1
1948,"Austria",69,0,6,"separe",0,1,1,0,"grande ville",3,NA,14,12,12,3,3,1,1,8,4,0
1946,"Austria",71,0,3,"veuf",0,1,0,0,"grande ville",1,NA,3,5,10,4,3,0,NA,8,3,1
1986,"Austria",31,1,4,"celibataire",0,2,0,0,"village",1,2,0,1,12,4,2,0,NA,8,1,0
1993,"Austria",24,0,7,"couple",0,3,0,0,"grande ville",4,5,14,17,3,3,3,0,NA,0,3,0
1985,"Austria",32,0,4,"couple",0,2,0,0,"banlieue",3,5,8,18,5,3,3,1,1,1,NA,1
1989,"Austria",28,1,7,"celibataire",0,1,0,0,"village",4,5,10,16,4,4,2,1,0,1,1,1
1992,"Austria",25,0,4,"couple",1,2,0,1,"grande ville",4,5,12,14,3,4,2,1,0,1,1,0
1992,"Austria",25,1,7,"celibataire",0,1,0,0,"village",3,4,13,13,NA,3,2,1,0,2,3,1
1990,"Austria",27,0,8,"celibataire",0,2,0,1,"banlieue",4,5,10,19,3,4,3,1,0,2,3,1
1944,"Austria",73,0,4,"separe",0,1,1,0,"village",2,NA,18,14,4,1,3,1,0,2,NA,1
1963,"Austria",54,1,4,"couple",0,5,0,1,"banlieue",4,4,17,12,3,2,2,1,1,2,3,1
1960,"Austria",57,0,3,"separe",0,1,0,0,"village",2,3,10,9,6,3,3,1,0,2,3,0
1953,"Austria",64,1,4,"couple",1,NA,0,0,"village",4,5,12,18,3,3,3,1,0,2,3,1
1994,"Austria",23,0,4,"celibataire",0,1,0,1,"grande ville",2,1,17,9,7,2,3,0,NA,3,3,0
1959,"Austria",58,0,6,"couple",1,5,1,0,"village",3,4,14,8,8,3,3,1,0,3,3,1
1957,"Austria",60,1,4,"couple",1,4,0,1,"banlieue",4,5,11,13,4,1,NA,1,1,3,4,1
1938,"Austria",79,0,4,"couple",1,NA,0,1,"grande ville",4,5,5,10,3,2,1,1,1,3,3,1
1997,"Austria",20,0,4,"celibataire",0,1,0,0,"village",2,3,14,NA,6,NA,2,1,1,3,1,0
1984,"Austria",33,1,4,"couple",0,NA,0,0,"grande ville",3,4,NA,11,5,4,2,1,0,3,1,1
1971,"Austria",46,0,6,"couple",0,5,0,0,"petite ville",1,2,10,12,5,2,3,1,0,3,3,1
1934,"Austria",83,1,9,"couple",0,NA,0,1,"banlieue",4,5,15,NA,3,3,4,1,1,3,4,1
1985,"Austria",32,1,6,"couple",0,2,0,0,"grande ville",3,4,11,10,5,3,2,1,0,3,3,1
1991,"Austria",26,1,4,"celibataire",0,1,0,0,"grande ville",3,4,13,13,7,4,2,1,0,3,3,0
1971,"Austria",46,1,4,"couple",1,3,0,0,"village",3,5,14,14,4,3,3,1,1,3,4,1
1984,"Austria",33,1,8,"couple",0,4,0,1,"grande ville",3,4,3,14,4,4,1,1,0,4,1,0
1985,"Austria",32,1,3,"couple",1,2,1,0,"petite ville",3,5,8,6,10,3,2,1,1,4,3,1
1985,"Austria",32,1,8,"celibataire",0,5,1,0,"grande ville",3,5,22,13,4,2,3,1,1,4,3,1
1986,"Austria",31,0,3,"celibataire",0,5,0,0,"village",2,1,12,12,5,3,3,1,0,4,3,0
1976,"Austria",41,0,6,"couple",1,4,1,0,"village",3,4,NA,NA,5,NA,1,1,1,4,4,0
1958,"Austria",59,1,4,"couple",1,5,1,1,"grande ville",2,5,15,16,4,3,NA,1,1,4,4,1
1989,"Austria",28,0,4,"celibataire",0,5,0,0,"banlieue",2,3,12,12,4,4,3,1,0,4,3,0
1959,"Austria",58,0,3,"couple",0,3,1,1,"petite ville",2,5,12,6,NA,2,2,1,1,4,3,1
1959,"Austria",58,1,4,"couple",0,NA,0,1,"village",3,5,13,6,6,1,3,1,1,4,4,1
1990,"Austria",27,1,8,"celibataire",0,2,0,0,"grande ville",4,4,14,14,4,2,2,1,0,4,3,0
1961,"Austria",56,1,4,"couple",1,4,NA,0,"village",3,5,NA,5,5,3,NA,1,1,4,4,1
1979,"Austria",38,1,4,"celibataire",1,1,0,0,"grande ville",3,3,4,9,6,3,2,1,0,4,1,1
1950,"Austria",67,0,3,"couple",0,3,1,0,"village",1,4,15,NA,3,2,2,1,1,4,4,0
1969,"Austria",48,1,4,"couple",1,4,0,0,"village",2,5,19,4,3,2,NA,1,1,4,4,1
1942,"Austria",75,1,4,"couple",1,4,0,0,"banlieue",3,4,15,8,3,4,2,1,1,4,4,1
1943,"Austria",74,0,4,"couple",0,5,0,0,"banlieue",2,4,20,9,3,3,3,1,1,4,1,1
1958,"Austria",59,0,4,"celibataire",1,1,0,0,"grande ville",3,4,13,12,7,3,3,1,1,4,4,1
1955,"Austria",62,1,4,"couple",0,1,0,0,"village",3,5,16,11,6,3,3,1,1,4,4,1
1976,"Austria",41,1,6,"couple",0,2,0,0,"village",4,4,10,11,6,3,2,1,0,4,3,0
1944,"Austria",73,1,4,"couple",0,4,0,1,"banlieue",3,4,9,12,6,4,3,1,1,5,3,1
1989,"Austria",28,0,8,"celibataire",0,1,0,1,"petite ville",3,4,10,11,10,2,3,0,NA,5,4,0
1950,"Austria",67,0,6,"couple",0,3,1,0,"grande ville",1,3,5,8,12,NA,3,1,NA,5,4,0
1978,"Austria",39,1,4,"couple",0,5,0,0,"village",1,3,10,4,8,3,2,0,NA,5,1,0
1951,"Austria",66,0,4,"celibataire",0,2,1,0,"village",3,4,6,5,10,4,3,1,0,5,1,0
1977,"Austria",40,1,4,"celibataire",0,1,0,1,"village",1,3,8,4,9,3,1,1,1,5,1,0
1975,"Austria",42,1,7,"couple",0,4,0,0,"petite ville",4,5,13,17,6,3,3,1,0,5,3,0
1988,"Austria",29,1,4,"celibataire",0,NA,0,0,"banlieue",1,5,11,11,7,2,3,0,NA,5,3,0
1997,"Austria",20,0,4,"celibataire",0,1,0,1,"grande ville",2,1,16,10,9,2,3,0,NA,5,1,0
1989,"Austria",28,0,7,"celibataire",0,1,0,1,"grande ville",3,5,10,8,8,3,3,0,NA,5,4,0
1956,"Austria",61,0,4,"couple",0,4,0,0,"banlieue",2,3,4,4,10,3,2,1,1,5,3,0
1949,"Austria",68,0,3,"couple",0,3,1,0,"village",1,1,9,4,10,NA,2,1,1,5,3,1
1991,"Austria",26,1,4,"celibataire",0,1,0,0,"village",2,2,6,4,9,4,1,1,0,5,1,0
1953,"Austria",64,0,3,"couple",0,3,1,0,"village",2,2,10,3,7,2,2,1,1,5,3,1
1948,"Austria",69,1,4,"couple",0,NA,1,0,"village",2,4,8,4,10,2,1,1,0,5,4,0
1939,"Austria",78,0,3,"veuf",0,3,1,0,"village",2,1,6,8,5,4,2,1,1,5,4,1
1980,"Austria",37,0,4,"couple",0,2,1,0,"village",4,4,11,10,6,2,2,1,0,5,NA,1
1978,"Austria",39,1,4,"couple",1,5,0,0,"village",3,3,10,8,6,4,3,1,0,5,3,0
1943,"Austria",74,1,4,"separe",0,1,0,0,"grande ville",3,4,16,6,9,3,2,1,1,5,1,0
1954,"Austria",63,1,4,"couple",0,4,0,0,"banlieue",2,5,8,2,11,3,1,1,0,5,1,0
1931,"Austria",86,0,3,"veuf",0,1,1,1,"village",2,3,NA,0,8,2,3,1,NA,5,4,0
1958,"Austria",59,0,2,"couple",0,3,1,0,"village",3,3,4,5,11,4,3,1,1,5,3,1
1957,"Austria",60,1,3,"veuf",0,NA,0,0,"village",4,4,12,11,6,3,1,1,1,5,1,0
1939,"Austria",78,1,4,"couple",0,4,0,0,"grande ville",4,2,5,10,4,1,2,1,0,5,1,0
1963,"Austria",54,1,3,"couple",1,2,0,0,"village",3,4,6,9,7,3,2,1,1,5,3,1
2000,"Austria",17,1,1,"celibataire",0,NA,0,0,"village",3,3,7,4,10,1,2,1,0,5,4,0
1989,"Austria",28,0,3,"celibataire",0,5,0,1,"village",2,4,22,13,3,2,NA,1,0,5,4,0
1976,"Austria",41,1,4,"couple",0,5,0,0,"village",2,3,9,7,7,3,1,1,1,5,3,0
1994,"Austria",23,0,4,"celibataire",1,2,1,0,"village",3,4,11,7,4,2,3,1,0,5,4,0
1998,"Austria",19,0,4,"celibataire",0,4,1,0,"village",3,4,4,1,10,3,1,1,0,5,1,1
1961,"Austria",56,0,4,"couple",0,3,1,1,"petite ville",1,2,4,NA,7,4,NA,1,1,5,4,0
1953,"Austria",64,0,4,"couple",1,4,0,0,"village",3,4,9,4,8,3,2,1,0,5,1,0
1994,"Austria",23,1,4,"celibataire",0,4,0,0,"village",3,3,7,12,5,3,3,1,0,5,3,0
1947,"Austria",70,0,3,"veuf",0,1,1,0,"village",2,2,6,4,10,4,2,1,0,5,3,0
1976,"Austria",41,0,4,"celibataire",1,3,0,0,"grande ville",2,4,21,12,4,3,NA,1,1,5,4,1
1996,"Austria",21,1,4,"celibataire",0,1,0,0,"grande ville",2,3,7,9,8,4,2,1,0,5,3,0
1954,"Austria",63,1,4,"separe",0,2,0,0,"grande ville",2,NA,6,0,10,3,1,1,0,5,3,1
1974,"Austria",43,0,4,"couple",0,4,0,1,"grande ville",2,2,11,13,3,2,3,1,1,5,4,0
1940,"Austria",77,0,4,"couple",0,2,1,0,"village",3,4,12,13,6,2,2,1,0,5,3,1
1949,"Austria",68,0,4,"separe",0,2,1,1,"grande ville",2,2,10,16,10,3,3,1,0,5,4,0
1969,"Austria",48,1,4,"celibataire",1,1,0,1,"banlieue",4,5,NA,NA,12,4,1,1,0,5,NA,0
1979,"Austria",38,1,4,"celibataire",1,4,0,0,"village",4,4,10,7,6,3,2,1,0,5,3,1
1964,"Austria",53,0,4,"celibataire",0,1,0,0,"village",2,3,4,3,11,4,1,1,0,5,1,1
1959,"Austria",58,1,4,"couple",0,3,1,0,"village",4,2,3,7,11,4,2,0,NA,5,1,0
1979,"Austria",38,1,4,"couple",0,3,1,0,"grande ville",3,4,10,8,9,3,3,1,1,5,3,1
1952,"Austria",65,0,4,"separe",0,2,0,0,"grande ville",1,3,4,NA,6,3,2,1,0,5,1,0
1953,"Austria",64,0,4,"couple",0,5,1,0,"village",3,5,10,4,7,NA,2,1,1,5,4,0
1958,"Austria",59,1,4,"couple",0,5,0,0,"village",4,4,20,10,2,3,NA,1,1,5,3,1
1992,"Austria",25,0,4,"celibataire",0,1,1,1,"banlieue",1,3,19,NA,6,3,NA,1,1,5,4,0
1959,"Austria",58,0,3,"couple",0,4,0,1,"petite ville",2,2,16,10,4,2,3,0,NA,5,4,0
1967,"Austria",50,1,4,"couple",0,4,1,0,"village",3,4,11,3,9,3,2,1,1,5,4,1
1948,"Austria",69,0,4,"separe",0,1,0,1,"grande ville",2,3,4,1,3,3,2,1,1,5,NA,0
1950,"Austria",67,1,3,"couple",0,3,1,0,"village",3,3,7,4,10,4,2,1,1,5,1,0
1992,"Austria",25,0,4,"couple",0,3,0,0,"grande ville",1,2,NA,10,6,2,2,1,1,5,4,0
1972,"Austria",45,1,4,"celibataire",0,2,1,0,"village",2,3,1,NA,12,NA,2,1,0,5,1,1
1963,"Austria",54,1,4,"couple",0,NA,0,0,"banlieue",2,4,11,6,4,3,2,1,0,5,4,0
1978,"Austria",39,1,4,"couple",0,2,1,1,"grande ville",3,4,8,8,8,3,3,1,1,5,4,0
1995,"Austria",22,0,4,"couple",0,1,0,0,"village",3,4,8,8,8,3,2,1,0,5,3,0
1967,"Austria",50,1,3,"couple",0,3,0,0,"village",4,3,16,8,6,2,3,0,NA,5,3,0
1963,"Austria",54,1,4,"couple",0,1,0,0,"village",3,4,2,6,8,3,2,1,1,5,1,1
1976,"Austria",41,0,6,"celibataire",0,2,1,1,"grande ville",3,4,9,NA,NA,4,2,1,0,5,3,1
1992,"Austria",25,1,4,"couple",0,4,1,1,"village",3,4,8,10,7,4,3,1,1,5,4,0
1946,"Austria",71,0,4,"veuf",0,1,1,1,"village",3,4,8,10,6,3,3,1,1,5,3,1
1956,"Austria",61,0,3,"couple",0,1,1,0,"village",2,3,7,6,11,4,2,1,0,5,1,1
1968,"Austria",49,1,3,"couple",0,4,1,1,"banlieue",3,2,7,8,6,4,2,1,0,5,3,0
1977,"Austria",40,0,4,"couple",0,3,0,0,"village",3,3,11,5,9,3,2,1,0,5,3,0
2000,"Austria",17,1,3,"celibataire",0,NA,0,0,"village",1,5,3,NA,12,3,NA,0,NA,5,1,0
1959,"Austria",58,1,4,"couple",0,2,0,0,"village",3,3,9,8,10,4,3,1,1,5,4,0
1929,"Austria",88,0,3,"veuf",0,1,1,0,"village",2,3,NA,7,9,3,3,1,1,5,4,0
1998,"Austria",19,1,4,"celibataire",1,1,0,0,"grande ville",2,2,NA,10,10,3,NA,1,1,5,3,0
1979,"Austria",38,1,4,"couple",0,3,0,0,"village",3,3,7,9,8,3,3,1,1,5,3,1
1970,"Austria",47,1,4,"couple",0,2,0,0,"village",2,4,11,NA,9,3,2,1,0,5,3,0
1970,"Austria",47,0,4,"couple",0,3,1,0,"village",3,4,10,10,8,3,3,1,1,5,3,0
1935,"Austria",82,1,2,"veuf",0,NA,1,0,"village",1,4,2,2,10,3,1,1,0,6,3,0
1978,"Austria",39,1,8,"couple",0,5,1,1,"petite ville",3,4,12,11,7,3,2,1,1,6,3,0
1990,"Austria",27,0,7,"couple",0,5,0,0,"grande ville",2,4,17,11,8,3,3,0,NA,6,4,0
1972,"Austria",45,0,4,"couple",0,4,0,0,"village",3,5,10,14,7,3,3,1,1,6,1,1
1989,"Austria",28,1,7,"couple",0,5,0,0,"village",4,4,13,9,NA,NA,2,1,1,6,3,0
1962,"Austria",55,0,4,"couple",1,2,NA,0,"village",2,5,NA,NA,3,4,1,1,1,6,3,1
1973,"Austria",44,1,4,"couple",0,4,0,0,"village",2,2,6,4,7,3,2,1,0,6,1,0
1972,"Austria",45,1,4,"couple",0,4,0,1,"village",2,2,13,4,10,4,2,1,1,6,3,0
1959,"Austria",58,0,4,"couple",1,NA,1,0,"village",2,4,5,2,12,3,1,1,0,6,1,0
1948,"Austria",69,0,3,"couple",0,2,1,0,"village",3,3,6,1,11,3,1,1,0,6,1,1
1950,"Austria",67,0,3,"couple",0,3,1,0,"village",3,2,10,5,11,3,2,1,1,6,3,0
1962,"Austria",55,1,3,"couple",0,2,0,0,"village",3,3,10,6,11,3,3,1,1,6,3,0
1990,"Austria",27,1,4,"couple",0,3,0,1,"petite ville",3,5,9,7,10,3,2,1,1,6,3,0
1967,"Austria",50,1,4,"veuf",1,2,0,0,"grande ville",3,3,4,3,9,4,2,1,1,6,3,1
1975,"Austria",42,0,4,"couple",1,5,0,0,"village",2,3,8,5,7,2,2,1,1,6,3,1
1948,"Austria",69,1,4,"couple",0,4,0,0,"grande ville",4,2,7,5,9,3,2,1,0,6,1,0
1971,"Austria",46,1,4,"couple",0,4,0,0,"grande ville",2,4,8,1,11,3,1,1,0,6,3,1
1975,"Austria",42,1,4,"couple",0,3,0,0,"petite ville",3,4,5,1,8,3,2,1,1,6,3,1
1954,"Austria",63,1,4,"couple",0,NA,1,0,"village",3,4,6,7,10,1,1,1,0,6,1,1
1969,"Austria",48,1,4,"couple",1,4,0,0,"village",3,4,7,6,8,2,1,1,0,6,3,0
1960,"Austria",57,1,4,"couple",0,3,0,0,"grande ville",2,5,4,5,12,3,1,1,1,6,4,0
1976,"Austria",41,0,4,"couple",1,3,1,0,"village",3,4,9,3,10,3,1,1,0,6,4,0
1981,"Austria",36,1,4,"celibataire",0,3,0,0,"grande ville",3,4,7,9,7,3,3,1,1,6,3,1
1994,"Austria",23,0,4,"celibataire",0,3,0,0,"banlieue",2,4,10,1,11,3,1,1,0,6,4,1
